StoreID,StoreName,City,Region,Size,Format,OpenDate
1,Гипермаркет 'Нижний Новгород' №1,Нижний Новгород,Приволжский регион,80,Гипермаркет,2020-08-12
2,Магазин у дома 'Воронеж' №2,Воронеж,Центральный регион,500,Магазин у дома,2023-02-08
3,Торговый центр 'Волгоград' №3,Волгоград,Южный регион,120,Торговый центр,2021-01-21
4,Супермаркет 'Екатеринбург' №4,Екатеринбург,Уральский регион,400,Супермаркет,2019-12-06
5,Магазин у дома 'Самара' №5,Самара,Приволжский регион,250,Магазин у дома,2021-10-08
6,Магазин у дома 'Волгоград' №6,Волгоград,Южный регион,250,Магазин у дома,2019-05-22
7,Торговый центр 'Омск' №7,Омск,Сибирский регион,150,Торговый центр,2020-11-17
8,Гипермаркет 'Пермь' №8,Пермь,Приволжский регион,300,Гипермаркет,2021-12-11
9,Торговый центр 'Москва' №9,Москва,Центральный регион,120,Торговый центр,2021-03-23
10,Супермаркет 'Москва' №10,Москва,Центральный регион,120,Супермаркет,2020-02-22
11,Гипермаркет 'Самара' №11,Самара,Приволжский регион,500,Гипермаркет,2022-07-12
12,Супермаркет 'Челябинск' №12,Челябинск,Уральский регион,200,Супермаркет,2023-06-04
13,Супермаркет 'Красноярск' №13,Красноярск,Сибирский регион,250,Супермаркет,2024-10-14
14,Гипермаркет 'Волгоград' №14,Волгоград,Южный регион,250,Гипермаркет,2021-05-17
15,Магазин у дома 'Краснодар' №15,Краснодар,Южный регион,300,Магазин у дома,2024-01-02
